%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data
"monosémicas", 4, no, no, no, no, no, 11,0.454545,8570, no, no, no, no, no, no, yes
"montable", 2, no, no, no, no, no, 8,0.375,375000, no, no, no, no, no, no, yes
"mostraba", 8, no, no, no, no, no, 8,0.375,2460000, yes, no, no, no, no, no, yes
"muchas", 16, no, no, no, no, no, 6,0.333333,121000000, no, no, no, yes, no, no, yes
"mucho", 15, no, no, no, no, no, 5,0.4,184000000, no, no, no, yes, yes, no, yes
"muchos", 13, no, no, no, no, no, 6,0.333333,111000000, no, no, no, yes, yes, no, yes
"muestra", 10, no, no, no, no, no, 7,0.428571,65800000, yes, no, no, no, no, no, yes
"mundo", 16, no, no, no, no, no, 5,0.4,512000000, no, no, no, no, yes, no, yes
"municipal", 1, no, no, no, no, no, 9,0.444444,139000000, no, no, no, no, no, no, yes
"muy", 6, no, no, yes, no, no, 3,0.333333,365000000, no, no, no, no, no, no, yes
"natural", 4, no, no, no, no, no, 7,0.428571,721000000, no, no, no, no, no, no, yes
"naturaleza", 3, no, no, no, no, no, 10,0.5,63800000, no, no, no, no, no, no, yes
"nauseabundas", 3, no, no, no, no, no, 12,0.5,194000, no, no, no, no, no, no, yes
"negro", 7, no, no, no, no, no, 5,0.4,156000000, no, no, no, no, no, no, yes
"nivel", 9, no, no, no, no, no, 5,0.4,155000000, no, no, no, no, no, no, yes
"noche", 14, no, no, no, no, no, 5,0.4,107000000, no, no, no, yes, no, no, yes
"normal", 9, no, no, no, no, no, 6,0.333333,676000000, no, no, no, no, no, no, yes
"noviembre", 2, yes, no, no, no, no, 9,0.444444,122000000, yes, no, no, no, no, no, yes
"nube", 7, no, no, no, no, no, 4,0.5,21100000, no, no, no, no, no, no, yes
"octubre", 2, no, no, no, no, no, 7,0.428571,131000000, no, no, no, no, yes, no, yes
"origen", 4, no, yes, no, no, no, 6,0.5,59800000, no, no, no, no, no, no, yes
"otoño", 6, no, no, no, no, no, 5,0.6,14400000, no, no, no, no, no, no, yes
"pagar", 24, no, no, no, no, no, 5,0.4,80800000, no, no, no, no, no, no, yes
"paisaje", 3, no, yes, no, no, no, 7,0.571429,13700000, no, no, no, no, no, no, yes
"palabras", 8, no, no, no, no, no, 8,0.375,91200000, no, no, no, no, no, no, yes
"para poder", 0, no, no, no, no, no, 10,0.4,785000000, no, no, no, no, no, no, yes
"parecía", 8, no, no, no, no, no, 7,0.571429,12700000, no, no, no, no, no, no, yes
"parque", 16, no, no, no, yes, no, 6,0.5,97200000, no, no, no, no, no, no, yes
"participación", 1, no, no, no, no, no, 13,0.461538,49500000, no, no, no, no, no, no, yes
"participantes", 2, no, no, no, no, no, 13,0.384615,35300000, no, no, no, no, no, no, yes
"pasear", 26, no, no, no, no, no, 6,0.5,4880000, no, no, no, no, no, no, yes
"peligro", 7, no, no, no, no, no, 7,0.428571,22500000, no, no, no, no, no, no, yes
"pensaba", 11, no, no, no, no, no, 7,0.428571,8810000, no, no, no, no, no, no, yes
"pequeñitas", 0, no, no, no, yes, no, 10,0.5,1400000, no, no, no, no, no, no, yes
"pequeñito", 0, no, no, no, yes, no, 9,0.555556,1030000, no, no, no, no, yes, no, yes
"pequeño", 5, no, no, no, yes, no, 7,0.571429,58900000, no, no, no, no, yes, no, yes
"perrera", 13, no, no, no, no, no, 7,0.428571,720000, no, yes, no, no, no, no, yes
"perros", 14, no, no, no, no, no, 6,0.333333,32900000, no, yes, no, no, no, no, yes
"persona", 13, no, no, no, no, no, 7,0.428571,187000000, no, no, no, no, no, no, yes
"personaje", 4, no, yes, no, no, no, 9,0.444444,24400000, no, no, no, no, no, no, yes
"personajes", 5, no, yes, no, no, no, 10,0.4,39900000, no, no, no, no, no, no, yes
"plantita", 2, no, no, no, no, no, 8,0.375,1870000, no, no, no, no, no, no, yes
"por la", 0, no, no, no, no, no, 6,0.333333,6840000000, no, no, no, no, no, no, yes
"por la tarde", 0, no, no, no, no, no, 12,0.333333,515000000, no, no, no, no, no, no, yes
"por lo tanto", 0, no, no, no, no, no, 12,0.333333,559000000, no, no, no, no, no, no, yes
"porcentajes", 2, no, yes, no, no, no, 11,0.363636,3520000, no, no, no, no, no, no, yes
"porque", 10, no, no, no, yes, no, 6,0.5,290000000, no, no, no, no, yes, no, yes
"preguntó", 8, no, no, no, no, yes, 8,0.375,6770000, no, no, no, no, no, no, yes
"prerrequisito", 2, no, no, no, yes, no, 13,0.461538,451000, no, yes, no, no, yes, no, yes
"presencia", 11, no, no, no, no, no, 9,0.444444,47200000, no, no, no, no, no, no, yes
"presente", 9, no, no, no, no, no, 8,0.375,156000000, no, no, no, no, no, no, yes
"preso", 14, no, no, no, no, no, 5,0.4,40300000, no, no, no, no, no, no, yes
"principio", 6, no, no, no, no, no, 9,0.444444,52800000, no, no, no, no, no, no, yes
"proceso", 10, no, no, no, no, no, 7,0.428571,89100000, no, no, no, no, no, no, yes
"proponemos", 5, no, no, no, no, no, 10,0.4,4260000, no, no, no, no, no, no, yes
"prorrumpir", 5, no, no, no, no, no, 10,0.3,47600, no, yes, no, no, yes, no, yes
"protozoos", 3, no, no, no, no, no, 9,0.444444,572000, no, yes, no, no, no, no, yes
"puesta", 10, no, no, no, no, no, 6,0.5,24200000, no, no, no, no, no, no, yes
"que no va", 0, no, no, no, yes, no, 9,0.444444,1470000000, no, no, no, no, yes, no, yes
"que te", 0, no, no, no, yes, no, 6,0.5,1360000000, no, no, no, no, no, no, yes
"que vio", 0, no, no, no, yes, no, 7,0.571429,226000000, no, no, no, no, yes, no, yes
"quejaba", 9, no, yes, no, yes, no, 7,0.571429,2110000, no, no, no, no, no, no, yes
"queso", 11, no, no, no, yes, no, 5,0.6,14100000, no, no, no, no, yes, no, yes
"quiso", 15, no, no, no, yes, no, 5,0.6,10500000, no, no, no, no, yes, no, yes
"razón", 16, no, no, no, no, no, 5,0.4,50600000, no, no, no, no, no, no, yes
"receptor", 7, no, no, no, no, no, 8,0.375,31200000, no, no, no, no, no, no, yes
"recuerda", 6, no, no, no, yes, no, 8,0.5,35200000, no, no, no, no, no, no, yes
"reescribir", 6, no, no, no, no, no, 10,0.4,3610000, yes, yes, no, no, no, no, yes
"refugio", 7, no, yes, no, no, no, 7,0.571429,10700000, no, no, no, no, yes, no, yes
