%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p3.cpp
@relation whole_set_p3
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data
3, 15, 5, no, no, no, no, no, no, no, no, 9, no
4, 49, 3, no, no, no, no, no, no, no, no, 6, no
4, 71, 3, no, no, no, no, no, no, no, no, 6, no
5, 25, 4, no, no, no, no, no, no, no, no, 8, no
5, 27, 4, no, no, no, no, no, no, no, yes, 10, no
6, 38, 4, no, no, no, no, no, no, no, no, 10, no
3, 9, 4, no, no, yes, yes, no, no, no, no, 10, no
9, 62, 4, no, no, no, no, no, no, no, no, 8, no
12, 143, 2, no, no, no, no, no, no, no, no, 5, no
2, 137, 2, no, no, yes, no, no, no, no, no, 5, no
45, 397, 1, no, no, no, no, no, no, no, no, 1, no
21, 448, 2, no, no, no, no, no, no, no, no, 4, no
34, 461, 2, no, no, no, no, no, no, no, no, 4, no
32, 420, 1, no, no, no, no, no, no, no, no, 2, no
8, 130, 2, no, no, no, no, no, no, no, yes, 5, no
22, 434, 1, no, no, no, no, no, no, no, no, 2, no
10, 157, 2, no, no, no, no, no, no, no, no, 5, no
9, 247, 3, no, no, yes, no, no, no, no, no, 5, no
12, 289, 2, no, no, yes, no, no, no, no, no, 5, no
2, 37, 2, no, no, no, no, no, no, no, no, 5, no
21, 318, 1, no, no, no, no, no, no, no, no, 3, no
26, 498, 1, no, no, no, no, no, no, no, no, 2, no
14, 192, 2, no, no, no, no, no, no, no, no, 5, no
27, 668, 1, no, no, no, no, no, no, no, no, 4, no
4, 55, 3, no, no, no, no, no, no, no, no, 7, no
4, 43, 4, no, no, no, no, no, no, no, no, 8, no
